fips,year,yield_bushels_acre_combined,cover_crop_ratio,avg_temp_mean,max_temp_mean,precip_sum,vpd_mean,avg_temp_mean_lag1,max_temp_mean_lag1,precip_sum_lag1,vpd_mean_lag1
19001,2017,112.85,0.628674122932798,292.4078537137681,298.6272930253623,9331.917,0.7580484601449275,292.4078537137681,298.6272930253623,9331.917,0.7580484601449275
19003,2017,116.25,0.06262371267104622,292.68932880434784,298.9413525815217,6448.698,0.7722955163043478,292.68932880434784,298.9413525815217,6448.698,0.7722955163043478
19005,2017,121.55,0.15671737256319698,290.8060766590389,296.43003403890157,16139.741,0.6656178489702517,290.8060766590389,296.43003403890157,16139.741,0.6656178489702517
19007,2017,110.35,0.09753145199686893,292.921890625,299.3884307065218,5454.404,0.8467533967391304,292.921890625,299.3884307065218,5454.404,0.8467533967391304
19009,2017,134.2,0.024878057308694208,292.06903260869564,298.2043562801932,7429.841,0.7363520531400966,292.06903260869564,298.2043562801932,7429.841,0.7363520531400966
19011,2017,136.45000000000002,0.0,291.9324979619565,298.1711620244565,11065.701,0.7911569293478261,291.9324979619565,298.1711620244565,11065.701,0.7911569293478261
19013,2017,134.35,0.15760167955455293,291.6693594202899,297.887134057971,11277.512,0.7535597826086956,291.6693594202899,297.887134057971,11277.512,0.7535597826086956
19015,2017,124.55000000000001,0.12997823909364098,292.3452599637681,298.6533011775362,11246.289,0.7672998188405797,292.3452599637681,298.6533011775362,11246.289,0.7672998188405797
19017,2017,134.75,0.1264193792581378,291.1856032608695,297.1836725543478,6034.88,0.6766080163043479,291.1856032608695,297.1836725543478,6034.88,0.6766080163043479
19019,2017,138.6,0.04081756674634364,291.3721061594203,297.4791572463768,11358.823,0.7210442028985508,291.3721061594203,297.4791572463768,11358.823,0.7210442028985508
19021,2017,122.2,0.007290313555426767,291.3111345108696,297.60436367753624,10392.877,0.7024642210144927,291.3111345108696,297.60436367753624,10392.877,0.7024642210144927
19023,2017,133.65,0.14189083881425144,291.341347826087,297.52068342391306,9066.125,0.6933872282608696,291.341347826087,297.52068342391306,9066.125,0.6933872282608696
19025,2017,126.3,0.07904404025093681,291.8532525362319,298.38884311594205,15079.833,0.7301184782608695,291.8532525362319,298.38884311594205,15079.833,0.7301184782608695
19027,2017,135.85,1.974028070779696,291.924303442029,298.162375,12057.537,0.7116336050724638,291.924303442029,298.162375,12057.537,0.7116336050724638
19029,2017,127.15,1.0,292.3841376811594,298.5307699275362,8592.036,0.7446788949275363,292.3841376811594,298.5307699275362,8592.036,0.7446788949275363
19031,2017,140.95000000000002,0.0837292109948326,292.0760874094203,298.13720606884056,8799.256,0.7556979166666666,292.0760874094203,298.13720606884056,8799.256,0.7556979166666666
19033,2017,132.05,0.03551787594804753,291.0045638586957,297.19482744565215,8397.215,0.7216055253623189,291.0045638586957,297.19482744565215,8397.215,0.7216055253623189
